Date,p/kg,Arrival
01-Sep,63,600
02-Sep,66,350
03-Sep,68,450
04-Sep,70,600
05-Sep,70,500
06-Sep,66,400
07-Sep,62,400
08-Sep,62,300
09-Sep,60,250
10-Sep,60,200
11-Sep,63,275
12-Sep,63,312
13-Sep,62,350
14-Sep,69,450
15-Sep,68,250
16-Sep,63,550
17-Sep,58,400
18-Sep,60,200
19-Sep,60,475
20-Sep,60,750
21-Sep,60,250
22-Sep,60,200
23-Sep,60,450
24-Sep,60,300
25-Sep,60,250
26-Sep,60,200
27-Sep,62,150
28-Sep,66,225
29-Sep,66,300
30-Sep,62,200
01-Oct,62,350
02-Oct,60,300
03-Oct,60,300
04-Oct,60,300
05-Oct,62,250
06-Oct,66,200
07-Oct,66,200
08-Oct,66,350
09-Oct,60,150
10-Oct,60,225
11-Oct,62,300
12-Oct,60,300
13-Oct,64,300
14-Oct,62,300
15-Oct,66,250
16-Oct,64,350
17-Oct,64,275
18-Oct,61,200
19-Oct,61,325
20-Oct,64,450
21-Oct,64,450
22-Oct,62,300
23-Oct,62,350
24-Oct,67,425
25-Oct,67,500
26-Oct,68,350
27-Oct,71,350
28-Oct,73,400
29-Oct,72,100
30-Oct,73,400
31-Oct,73,325
01-Nov,71,250
02-Nov,71,250
03-Nov,70,650
04-Nov,73,550
05-Nov,76,500
06-Nov,76,750
07-Nov,76,625
08-Nov,78,500
09-Nov,77,450
10-Nov,80,800
11-Nov,76,450
12-Nov,76,550
13-Nov,68,850
14-Nov,68,625
15-Nov,72,400
16-Nov,73,400
17-Nov,73,300
18-Nov,70,800
19-Nov,70,600
20-Nov,69,550
21-Nov,69,1125
22-Nov,70,1700
23-Nov,67,2400
24-Nov,68,1200
25-Nov,66,2500
26-Nov,66,1600
27-Nov,67,2300
28-Nov,67,2400
29-Nov,68,2500
30-Nov,69,2200
01-Dec,67,5200
02-Dec,63,5150
03-Dec,59,6800
04-Dec,56,7600
05-Dec,56,9900
06-Dec,55,7150
07-Dec,55,4400
08-Dec,54,5300
09-Dec,48,5300
10-Dec,44,5600
11-Dec,40,3300
12-Dec,36,4600
13-Dec,36,4200
14-Dec,36,3800
15-Dec,36,6600
16-Dec,34,4500
17-Dec,34,5200
